date,opp_defense_skill,comp_pct,yds,tds,ints
2024-08-31,0.156,70.4,238,2,0
2024-09-07,0.687,76.7,185,1,0
2024-09-20,0.769,68.6,297,3,1
2024-09-28,0.022,63.0,257,1,0
2024-10-05,0.477,48.1,134,0,1
2024-10-19,0.955,63.6,234,0,3
2024-10-26,0.993,65.6,152,0,1
2024-11-02,0.493,51.9,177,1,1
2024-11-16,0.575,71.1,191,1,2
2024-11-23,0.657,73.7,293,1,0
2024-11-29,0.918,68.8,190,0,0
2024-12-28,0.604,73.3,224,1,1
2025-08-28,0.600,78.6,243,2,0
2025-09-06,0.183,77.4,364,4,0
2025-09-20,0.825,73.2,308,3,1
2025-10-04,0.376,66.7,194,1,1
